_lat,_lon
40.7213334727,-73.9779787949
40.721270408,-73.977972243
40.7212706785,-73.9779721344
40.7213000881,-73.9780662965
40.7213539997,-73.9781036273
40.7214040743,-73.9781437866
40.7214393645,-73.9781900645
40.7214604561,-73.9782207561
40.7214774974,-73.9782360608
40.7214843605,-73.9782539327
40.7214906835,-73.9782636933
40.7214954964,-73.9782728599
40.7214963804,-73.9782899552
40.7215033917,-73.9782863052
40.7215095666,-73.9782828955
40.7215138417,-73.97827937
40.7215176448,-73.9782782626
40.7215213476,-73.9782814276
40.721525418,-73.9782879652
40.7215308206,-73.9782971616
40.7215352577,-73.9783068039
40.7215382968,-73.9783165028
40.7215405956,-73.9783292849
40.7215419734,-73.97834328
40.7215432824,-73.978358594
40.7215455501,-73.9783737052
40.7215476107,-73.9783853474
40.721551342,-73.9783939742
40.7215578776,-73.9784000586
40.7215655394,-73.9784061739
40.7215720411,-73.978412468
40.72157806,-73.9784213564
40.7215821733,-73.9784352871
40.7215849522,-73.9784512668
40.7215882805,-73.9784668071
40.7215920112,-73.9784801786
40.7215957946,-73.9784932641
40.7215991873,-73.9785073265
40.721601196,-73.9785225187
40.7216028566,-73.978538447
40.7216046209,-73.9785535376
40.7216075296,-73.978566432
40.721612869,-73.9785788056
40.7216191346,-73.9785939065
40.7216256374,-73.9786100811
40.7216300862,-73.9786266549
40.7216331031,-73.978646146
40.7216348275,-73.978668652
40.7216382367,-73.9786902024
40.7216452064,-73.9787096473
40.7216542668,-73.9787264757
40.7216638346,-73.9787419307
40.7216724277,-73.9787575231
40.7216800023,-73.9787724225
40.7216866988,-73.9787860601
40.7216934583,-73.9787990009
40.7217009881,-73.978814038
40.7217084632,-73.9788319881
40.7217169482,-73.9788509179
40.7217266952,-73.9788688753
40.7217371401,-73.9788850186
40.7217476271,-73.9788996308
40.7217579894,-73.9789133867
40.7217674516,-73.9789280315
40.7217753168,-73.9789433399
40.7217811633,-73.9789591947
40.721786677,-73.9789743774
40.7217935816,-73.9789879267
40.721802805,-73.9790006146
40.7218141031,-73.9790130216
40.7218258719,-73.9790273176
40.7218375385,-73.9790428043
40.7218485993,-73.9790593107
40.7218602702,-73.979076546
40.7218708865,-73.979092627
40.7218798884,-73.9791090465
40.7218864896,-73.9791270795
40.721890438,-73.979146155
40.7218928551,-73.9791673753
40.721895188,-73.9791881916
40.7218973529,-73.9792065804
40.7219003215,-73.9792236364
40.7219052404,-73.9792400297
40.721912737,-73.9792556327
40.72192126,-73.9792684013
40.7219284743,-73.9792802052
40.721934679,-73.9792922242
40.7219395753,-73.979303417
40.7219438566,-73.9793126246
40.72194709,-73.9793214381
40.7219516404,-73.979329238
40.7219596219,-73.97933846
40.721970143,-73.9793487173
40.7219798194,-73.979358022
40.7219867367,-73.9793674212
40.7219915442,-73.9793771279
40.7219945752,-73.979386168
40.7219969492,-73.9793966057
40.7219994878,-73.9794093522
40.7220018372,-73.9794233788
40.7220041247,-73.9794373988
40.7220056666,-73.9794498401
40.7220070278,-73.9794623901
40.7220089267,-73.9794765292
40.7220133428,-73.9794935043
40.7220192591,-73.9795108372
40.722027303,-73.9795268943
40.7220365553,-73.9795417828
40.7220458244,-73.9795559973
40.7220536394,-73.9795711761
40.7220590095,-73.9795872364
40.7220635692,-73.9796039979
40.7220686301,-73.9796217715
40.7220751693,-73.9796397969
40.7220817407,-73.9796597007
40.7220871104,-73.9796834689
40.7220905741,-73.9797098069
40.7220920182,-73.9797351876
40.7220927023,-73.9797573024
40.7220930071,-73.9797745669
40.7220946041,-73.9797885369
40.7220972648,-73.9798002222
40.7221022604,-73.9798103893
40.7221097133,-73.9798208913
40.7221185994,-73.9798312667
40.7221277338,-73.9798410208
40.7221372172,-73.9798512162
40.7221469625,-73.9798629302
40.7221570751,-73.9798755505
40.7221676098,-73.9798898845
40.7221780545,-73.9799064289
40.7221874748,-73.9799238596
40.7221958421,-73.9799431896
40.7222036531,-73.9799622528
40.7222113789,-73.9799799051
40.7222191858,-73.9799957868
40.7222282784,-73.9800083208
40.7222375834,-73.9800197413
40.7222474747,-73.9800315335
40.7222563867,-73.9800435267
40.7222623187,-73.9800549797
40.7222680648,-73.9800649737
40.7222747501,-73.9800773508
40.7222810388,-73.9800930395
40.7222889265,-73.9801095048
40.7222979241,-73.9801244548
40.7223068645,-73.9801365994
40.722316541,-73.9801497457
40.7223277926,-73.9801653209
40.7223398276,-73.9801792018
40.7223510621,-73.9801900863
40.7223623265,-73.9802023551
40.7223737635,-73.9802175306
40.7223836386,-73.9802335641
40.7223926138,-73.9802478003
40.7224016284,-73.9802601453
40.7224113904,-73.9802711708
40.7224204799,-73.9802843958
40.7224278691,-73.9802996612
40.7224331766,-73.9803146028
40.7224362776,-73.9803294276
40.722439814,-73.980341826
40.7224454961,-73.9803580891
40.7224466721,-73.980364129
40.7224472355,-73.9803750116
40.7224475904,-73.9803893626
40.7224474548,-73.9804075967
40.7224464636,-73.9804296697
40.7224458194,-73.9804558841
40.7224477041,-73.9804836727
40.7224510144,-73.9805122223
40.7224551406,-73.9805408366
40.7224594309,-73.9805676762
40.7224648938,-73.980590961
40.7224702502,-73.9806128591
40.722476378,-73.9806327443
40.7224828847,-73.9806508365
40.7224893781,-73.980667359
40.7224959056,-73.9806830004
40.7225021264,-73.9806992772
40.7225061025,-73.9807156162
40.7225087136,-73.9807298259
40.7225088608,-73.9807437317
40.7225088839,-73.9807593544
40.7225091146,-73.980776455
40.7225081198,-73.9807939761
40.7225085436,-73.9808108436
40.7225093785,-73.9808291348
40.7225099427,-73.9808487784
40.7225118648,-73.9808662618
40.7225155535,-73.9808836016
40.7225203758,-73.9809014858
40.722526341,-73.9809193067
40.7225331566,-73.9809371927
40.722539506,-73.9809527657
40.7225451665,-73.980965964
40.7225512161,-73.9809800821
40.7225598403,-73.9809953528
40.7225715276,-73.9810082254
40.7225822096,-73.9810162552
40.7225902989,-73.9810206469
40.722596511,-73.9810261808
40.7226015549,-73.9810349531
40.7226058746,-73.9810429762
40.7226091288,-73.9810509274
40.7226155499,-73.9810609124
40.7226266926,-73.9810716364
40.7226426727,-73.9810808953
40.7226603871,-73.9810887175
40.7226762875,-73.9810975374
40.7226886451,-73.9811084681
40.7226976514,-73.9811219067
40.722704954,-73.981136672
40.7227110313,-73.9811499999
40.7227187038,-73.9811636494
40.7227284108,-73.9811773794
40.7227406241,-73.9811905024
40.7227536264,-73.9812037764
40.7227671582,-73.9812191012
40.7227799519,-73.9812366015
40.7227911385,-73.9812544152
40.7228015802,-73.9812762179
40.7228113485,-73.9812996419
40.7228201209,-73.9813210539
40.7228292829,-73.9813404226
40.7228395856,-73.9813581945
40.7228510667,-73.9813741555
40.7228645835,-73.9813906192
40.7228778674,-73.9814073056
40.7228890857,-73.9814225333
40.7228989765,-73.9814358691
40.7229085162,-73.9814481644
40.7229171196,-73.9814605123
40.7229237933,-73.9814752829
40.7229266874,-73.9814937913
40.7229268708,-73.9815148793
40.7229253587,-73.9815400255
40.7229252107,-73.9815649179
40.7229265244,-73.9815878059
40.7229287762,-73.981607869
40.7229324931,-73.9816256767
40.7229359505,-73.9816428435
40.7229389422,-73.9816594941
40.7229416571,-73.9816761838
40.7229450823,-73.9816914171
40.7229482546,-73.9817052916
40.7229501714,-73.9817195229
40.72295129,-73.981734404
40.722950714,-73.9817490793
40.7229495506,-73.9817652797
40.7229491205,-73.9817826136
40.7229503312,-73.9817993996
40.7229533967,-73.9818153708
40.7229587693,-73.981830921
40.7229699032,-73.9818430657
40.7229860313,-73.9818517031
40.7230034477,-73.9818594362
40.7230202717,-73.9818681371
40.7230343359,-73.9818780678
40.723045503,-73.9818897897
40.7230537358,-73.9819022362
40.7230603756,-73.9819158313
40.7230669498,-73.9819311073
40.7230727342,-73.9819484441
40.7230787756,-73.9819679996
40.7230852391,-73.9819871394
40.7230916594,-73.9820050458
40.7230973383,-73.9820215528
40.7231043634,-73.9820391801
40.7231118679,-73.9820577667
40.7231195595,-73.9820761751
40.7231267827,-73.9820953405
40.7231334171,-73.9821147915
40.7231387545,-73.9821326897
40.7231440452,-73.9821494764
40.7231511005,-73.9821663491
40.7231597905,-73.9821824861
40.7231671513,-73.9821945538
40.7231733581,-73.9822036134
40.7231776056,-73.9822137588
40.723181296,-73.9822245503
40.7231859576,-73.9822390968
40.7231915739,-73.9822569343
40.7231983792,-73.9822745121
40.7232064978,-73.982289149
40.7232149488,-73.9823012086
40.7232226646,-73.9823111963
40.7232294405,-73.9823201094
40.7232364055,-73.9823296899
40.7232440208,-73.9823405629
40.7232527774,-73.9823528408
40.7232632148,-73.9823682783
40.7232707849,-73.9823853457
40.7232754103,-73.982400483
40.7232775917,-73.9824120652
40.7232802757,-73.9824185993
40.7232860145,-73.9824181346
40.7232930426,-73.9824122794
40.723298106,-73.9824067961
40.723301213,-73.9824055301
40.7233033773,-73.982409142
40.7233051099,-73.9824164133
40.7233079692,-73.9824242876
40.7233138357,-73.9824293152
40.7233238703,-73.9824271476
40.7233377357,-73.9824183433
40.7233538966,-73.9824065738
40.723370403,-73.9823948901
40.723386332,-73.9823848221
40.7234039017,-73.9823764501
40.7234231232,-73.982368289
40.7234424027,-73.9823594269
40.7234590128,-73.9823503092
40.7234732778,-73.982341672
40.7234875329,-73.9823328912
40.7235013296,-73.9823248889
40.7235130032,-73.9823191531
40.7235237383,-73.9823150389
40.7235347606,-73.9823122041
40.7235478018,-73.9823105669
40.7235627854,-73.9823109821
40.7235760922,-73.9823108595
40.7235879446,-73.9823094846
40.7235985059,-73.9823064773
40.7236073123,-73.982302135
40.7236167567,-73.9822971
40.7236268814,-73.9822910345
40.7236378248,-73.9822843872
40.7236525959,-73.9822772771
40.7236690609,-73.982272008
40.7236840246,-73.9822693728
40.7236966554,-73.9822691628
40.7237070766,-73.9822684385
40.7237162836,-73.9822649972
40.7237241121,-73.9822569447
40.7237303735,-73.9822463094
40.7237365127,-73.9822345915
40.7237457693,-73.9822225645
40.7237578582,-73.9822114754
40.7237712637,-73.9822034603
40.7237861221,-73.9821981384
40.7238024352,-73.9821969496
40.7238190413,-73.9821983947
40.7238351413,-73.9821992538
40.7238517201,-73.9821973405
40.7238689479,-73.982191069
40.7238863431,-73.9821808673
40.7239033058,-73.9821675402
40.7239175098,-73.982153389
40.7239287674,-73.982139613
40.7239395165,-73.982125699
40.723951798,-73.9821130126
40.723964369,-73.982103154
40.7239757273,-73.9820957139
40.7239853501,-73.9820904778
40.7239929725,-73.9820866588
40.724001016,-73.9820836309
40.7240122492,-73.9820804208
40.7240260757,-73.9820763036
40.7240405816,-73.9820710225
40.7240547856,-73.9820640564
40.7240671294,-73.9820565054
40.7240782979,-73.9820496593
40.7240900096,-73.9820427621
40.7241019136,-73.9820346981
40.7241137838,-73.9820254479
40.7241259244,-73.9820156176
40.7241370988,-73.9820053947
40.7241476069,-73.9819952981
40.7241583546,-73.9819853294
40.724167925,-73.9819772674
40.7241766113,-73.9819697652
40.7241851432,-73.9819614735
40.7241928605,-73.9819525552
40.724200843,-73.9819423617
40.724209932,-73.9819308859
40.7242217089,-73.9819180036
40.7242345923,-73.9819053478
40.7242473275,-73.9818936234
40.7242599099,-73.9818832105
40.7242709562,-73.9818743666
40.7242802992,-73.981866191
40.7242888668,-73.9818573903
40.7242970226,-73.9818449987
40.7243053022,-73.981830336
40.724313973,-73.9818165262
40.7243243405,-73.9818057056
40.724335569,-73.9817977854
40.7243466284,-73.9817925333
40.7243590806,-73.9817880258
40.7243731472,-73.9817824112
40.7243875666,-73.9817760432
40.7244006017,-73.9817701564
40.7244122764,-73.981765203
40.7244224323,-73.9817628521
40.7244303999,-73.9817628415
40.7244370335,-73.9817619836
40.724444551,-73.9817580545
40.7244538347,-73.9817508406
40.7244654594,-73.981741778
40.72447762,-73.9817337799
40.7244909305,-73.981726393
40.7245043913,-73.9817201218
40.7245182395,-73.9817155157
40.7245319327,-73.9817112133
40.724544958,-73.9817073542
40.7245557032,-73.9817042363
40.7245654249,-73.9816987882
40.7245741602,-73.9816907604
40.7245815305,-73.9816827027
40.7245883388,-73.9816759872
40.724594636,-73.9816709521
40.7246018377,-73.981666442
40.7246094049,-73.9816608105
40.7246157963,-73.9816555507
40.7246210352,-73.9816504655
40.7246274327,-73.9816449973
40.7246332127,-73.9816390429
40.7246390956,-73.9816327977
40.7246470764,-73.9816262559
40.724655454,-73.9816184491
40.7246620233,-73.9816104166
40.724668145,-73.9816002507
40.724675466,-73.9815871536
40.7246830061,-73.9815735699
40.7246899838,-73.9815607486
40.72469857,-73.9815478032
40.7247089146,-73.9815340743
40.7247207205,-73.9815205004
40.724734227,-73.9815069301
40.7247479483,-73.9814931438
40.7247593723,-73.9814801867
40.7247688813,-73.9814683697
40.7247795983,-73.9814568441
40.724791352,-73.9814454204
40.7248021649,-73.981434861
40.7248108708,-73.9814251742
40.7248196783,-73.9814150835
40.7248282779,-73.9814042977
40.7248359169,-73.9813924996
40.7248440914,-73.9813800024
40.7248547676,-73.9813673932
40.7248675675,-73.9813549339
40.7248802832,-73.981342023
40.7248924146,-73.9813276997
40.724902655,-73.9813139063
40.7249126937,-73.9813013433
40.7249240984,-73.9812897527
40.7249371536,-73.9812817202
40.7249516958,-73.9812781341
40.7249679898,-73.9812769475
40.7249849616,-73.98127709
40.7250023361,-73.9812768421
40.7250193363,-73.9812755476
40.7250350907,-73.9812743626
40.7250499054,-73.9812734224
40.7250650025,-73.9812726032
40.7250804771,-73.9812704163
40.7250954595,-73.9812670675
40.7251105033,-73.9812628188
40.7251258311,-73.9812581821
40.7251409604,-73.9812531682
40.7251555032,-73.9812487081
40.7251694864,-73.9812460025
40.7251830962,-73.9812458292
40.7251948795,-73.9812476206
40.7252042261,-73.9812508041
40.7252124061,-73.9812555456
40.7252208168,-73.9812625177
40.7252299318,-73.981270915
40.7252388572,-73.981279212
40.7252470706,-73.9812862872
40.7252549728,-73.981291932
40.7252639291,-73.9812972035
40.7252734556,-73.9813021473
40.7252842851,-73.9813083067
40.7252969551,-73.9813160224
40.7253110127,-73.9813245727
40.7253253543,-73.9813314151
40.7253396819,-73.9813355185
40.7253537427,-73.9813373355
40.7253674817,-73.9813392874
40.7253802933,-73.9813411267
40.7253931483,-73.9813446052
40.7254077758,-73.9813511774
40.7254223211,-73.9813597952
40.725436131,-73.9813699585
40.7254474854,-73.9813808225
40.7254561398,-73.9813908182
40.7254635784,-73.9814006745
40.7254703291,-73.9814104994
40.7254779073,-73.9814197122
40.7254869656,-73.9814277711
40.7254970949,-73.9814352349
40.7255076765,-73.9814420167
40.7255167584,-73.9814462088
40.7255243073,-73.9814479309
40.7255318423,-73.9814482951
40.7255397833,-73.9814483341
40.7255486776,-73.98145013
40.7255580141,-73.9814561961
40.72556747,-73.9814664666
40.7255780838,-73.981479792
40.7255920912,-73.98149349
40.7256088389,-73.9815047698
40.7256271342,-73.9815130513
40.7256459266,-73.9815193403
40.7256626181,-73.981524129
40.7256772971,-73.9815270195
40.7256923285,-73.9815281329
40.7257073447,-73.9815266621
40.7257226711,-73.981523614
40.7257401458,-73.9815194926
40.7257581816,-73.9815169033
40.7257726753,-73.981517001
40.7257851799,-73.9815214489
